dep;semaine;pop;P;T;Ti;Tp;Td;cl_age90
13;2020-S22;2034469,00;147,00;15431,00;7,23;0,95;758,48;0
14;2020-S20;691453,00;19,00;2126,00;2,75;0,89;307,47;0
14;2020-S21;691453,00;9,00;3077,00;1,30;0,29;445,00;0
14;2020-S22;691453,00;10,00;3223,00;1,45;0,31;466,12;0
15;2020-S20;142811,00;2,00;211,00;1,40;0,95;147,75;0
15;2020-S21;142811,00;5,00;327,00;3,50;1,53;228,97;0
15;2020-S22;142811,00;1,00;390,00;0,70;0,26;273,09;0
16;2020-S20;348180,00;5,00;397,00;1,44;1,26;114,02;0
16;2020-S21;348180,00;24,00;846,00;6,89;2,84;242,98;0
16;2020-S22;348180,00;6,00;1010,00;1,72;0,59;290,08;0
17;2020-S20;647080,00;2,00;675,00;0,31;0,30;104,31;0
17;2020-S21;647080,00;6,00;1246,00;0,93;0,48;192,56;0
17;2020-S22;647080,00;5,00;1185,00;0,77;0,42;183,13;0
18;2020-S20;296404,00;8,00;331,00;2,70;2,42;111,67;0
18;2020-S21;296404,00;11,00;631,00;3,71;1,74;212,89;0
18;2020-S22;296404,00;5,00;683,00;1,69;0,73;230,43;0
19;2020-S20;240336,00;6,00;651,00;2,50;0,92;270,87;0
19;2020-S21;240336,00;8,00;765,00;3,33;1,05;318,30;0
19;2020-S22;240336,00;5,00;1142,00;2,08;0,44;475,17;0
21;2020-S20;532886,00;22,00;1272,00;4,13;1,73;238,70;0
21;2020-S21;532886,00;42,00;1693,00;7,88;2,48;317,70;0
21;2020-S22;532886,00;19,00;1723,00;3,57;1,10;323,33;0
22;2020-S20;596186,00;29,00;1040,00;4,86;2,79;174,44;0
22;2020-S21;596186,00;130,00;3325,00;21,81;3,91;557,71;0
22;2020-S22;596186,00;43,00;2631,00;7,21;1,63;441,31;0
23;2020-S20;116270,00;2,00;513,00;1,72;0,39;441,21;0
23;2020-S21;116270,00;10,00;664,00;8,60;1,51;571,08;0
23;2020-S22;116270,00;14,00;1562,00;12,04;0,90;1343,42;0
24;2020-S20;408393,00;3,00;477,00;0,73;0,63;116,80;0
24;2020-S21;408393,00;7,00;784,00;1,71;0,89;191,97;0
24;2020-S22;408393,00;3,00;1011,00;0,73;0,30;247,56;0
25;2020-S20;539449,00;25,00;1326,00;4,63;1,89;245,81;0
25;2020-S21;539449,00;25,00;1820,00;4,63;1,37;337,38;0
25;2020-S22;539449,00;19,00;1998,00;3,52;0,95;370,38;0
26;2020-S20;520560,00;20,00;779,00;3,84;2,57;149,65;0
26;2020-S21;520560,00;13,00;1205,00;2,50;1,08;231,48;0
26;2020-S22;520560,00;7,00;1088,00;1,34;0,64;209,01;0
27;2020-S20;600687,00;17,00;647,00;2,83;2,63;107,71;0
27;2020-S21;600687,00;22,00;1029,00;3,66;2,14;171,30;0
27;2020-S22;600687,00;14,00;1154,00;2,33;1,21;192,11;0
28;2020-S20;429425,00;20,00;660,00;4,66;3,03;153,69;0
28;2020-S21;429425,00;19,00;1053,00;4,42;1,80;245,21;0
28;2020-S22;429425,00;22,00;1250,00;5,12;1,76;291,09;0
29;2020-S20;906554,00;7,00;1127,00;0,77;0,62;124,32;0
29;2020-S21;906554,00;10,00;2068,00;1,10;0,48;228,12;0
29;2020-S22;906554,00;7,00;1828,00;0,77;0,38;201,64;0
2A;2020-S20;162421,00;7,00;602,00;4,31;1,16;370,64;0
2A;2020-S21;162421,00;6,00;939,00;3,69;0,64;578,13;0
2A;2020-S22;162421,00;6,00;981,00;3,69;0,61;603,99;0
2B;2020-S20;182258,00;4,00;519,00;2,19;0,77;284,76;0
2B;2020-S21;182258,00;7,00;646,00;3,84;1,08;354,44;0
2B;2020-S22;182258,00;0,00;592,00;0,00;0,00;324,81;0
30;2020-S20;748468,00;36,00;1764,00;4,81;2,04;235,68;0
30;2020-S21;748468,00;55,00;2929,00;7,35;1,88;391,33;0
30;2020-S22;748468,00;40,00;3070,00;5,34;1,30;410,17;0
31;2020-S20;1400935,00;50,00;3963,00;3,57;1,26;282,88;0
31;2020-S21;1400935,00;30,00;5147,00;2,14;0,58;367,40;0
31;2020-S22;1400935,00;20,00;5990,00;1,43;0,33;427,57;0
32;2020-S20;190040,00;10,00;444,00;5,26;2,25;233,64;0
32;2020-S21;190040,00;35,00;1431,00;18,42;2,45;753,00;0
